ak,al,ar,az,ca,co,ct,dc,de,fl,ga,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vt,wa,wi,wv,wy
26.0,1349.0,637.0,1730.0,6372.0,540.0,649.0,166.0,189.0,5109.0,5141.0,24.0,278.0,166.0,1300.0,871.0,397.0,2003.0,1136.0,1009.0,883.0,70.0,759.0,305.0,738.0,391.0,119.0,1842.0,93.0,178.0,83.0,1855.0,267.0,819.0,5018.0,1766.0,1151.0,226.0,2180.0,1229.0,104.0,1015.0,55.0,1293.0,9046.0,327.0,1306.0,49.0,381.0,673.0,256.0,72.0
37.0,1071.0,443.0,1224.0,4842.0,508.0,577.0,160.0,132.0,4747.0,4292.0,19.0,283.0,113.0,1207.0,706.0,328.0,1660.0,847.0,789.0,745.0,49.0,641.0,257.0,646.0,280.0,157.0,1545.0,79.0,188.0,70.0,1575.0,228.0,675.0,4171.0,1363.0,929.0,225.0,1772.0,787.0,87.0,817.0,77.0,1054.0,6283.0,254.0,1134.0,32.0,377.0,610.0,238.0,32.0
33.0,824.0,400.0,912.0,3829.0,475.0,525.0,145.0,145.0,4192.0,3067.0,29.0,253.0,129.0,1030.0,604.0,306.0,1534.0,802.0,780.0,658.0,42.0,646.0,262.0,541.0,330.0,104.0,1236.0,74.0,212.0,78.0,1620.0,181.0,553.0,4201.0,1198.0,829.0,159.0,1706.0,1096.0,92.0,682.0,80.0,1190.0,6530.0,252.0,1028.0,38.0,312.0,466.0,188.0,33.0
30.0,652.0,254.0,709.0,3139.0,414.0,532.0,113.0,90.0,3867.0,2295.0,14.0,224.0,109.0,904.0,491.0,213.0,1253.0,719.0,704.0,620.0,49.0,720.0,218.0,472.0,254.0,109.0,1075.0,50.0,170.0,72.0,1577.0,253.0,448.0,3836.0,1017.0,526.0,137.0,1443.0,681.0,80.0,529.0,63.0,859.0,5254.0,220.0,908.0,35.0,271.0,421.0,127.0,21.0
31.0,550.0,199.0,599.0,2612.0,373.0,518.0,122.0,77.0,3404.0,3387.0,24.0,227.0,115.0,916.0,441.0,183.0,1122.0,603.0,633.0,697.0,52.0,916.0,273.0,401.0,225.0,106.0,1007.0,75.0,140.0,71.0,1662.0,144.0,374.0,3720.0,986.0,394.0,128.0,1473.0,710.0,96.0,476.0,45.0,779.0,4693.0,207.0,813.0,43.0,274.0,406.0,137.0,18.0
42.0,597.0,213.0,513.0,2465.0,426.0,508.0,126.0,101.0,3218.0,2891.0,22.0,236.0,133.0,956.0,393.0,157.0,919.0,441.0,615.0,723.0,47.0,1300.0,343.0,395.0,184.0,83.0,945.0,51.0,145.0,71.0,1788.0,136.0,373.0,3738.0,915.0,327.0,132.0,1603.0,711.0,62.0,448.0,46.0,900.0,4173.0,225.0,782.0,36.0,289.0,372.0,147.0,19.0
33.0,543.0,134.0,470.0,2120.0,438.0,589.0,125.0,110.0,3169.0,2756.0,33.0,237.0,142.0,1185.0,482.0,156.0,1032.0,478.0,688.0,895.0,50.0,2006.0,369.0,392.0,148.0,75.0,873.0,53.0,116.0,65.0,2090.0,108.0,357.0,3994.0,1055.0,272.0,144.0,1815.0,779.0,67.0,424.0,69.0,1028.0,4021.0,181.0,803.0,32.0,251.0,346.0,164.0,28.0
45.0,464.0,135.0,455.0,1977.0,490.0,640.0,126.0,134.0,3291.0,2562.0,40.0,255.0,115.0,1336.0,587.0,145.0,806.0,485.0,726.0,947.0,56.0,2973.0,495.0,373.0,126.0,66.0,956.0,70.0,176.0,71.0,2170.0,107.0,357.0,3754.0,1099.0,279.0,161.0,2135.0,1010.0,84.0,492.0,50.0,1058.0,3766.0,160.0,796.0,35.0,344.0,383.0,218.0,32.0
43.0,436.0,177.0,440.0,1753.0,601.0,687.0,142.0,131.0,3495.0,2685.0,50.0,299.0,124.0,1576.0,630.0,150.0,930.0,440.0,723.0,1067.0,65.0,3958.0,643.0,407.0,122.0,76.0,975.0,110.0,209.0,93.0,2177.0,110.0,412.0,3611.0,1299.0,268.0,173.0,2402.0,707.0,79.0,480.0,71.0,1048.0,3831.0,168.0,825.0,51.0,514.0,523.0,253.0,36.0
33.0,417.0,172.0,425.0,1904.0,555.0,635.0,118.0,154.0,3762.0,2807.0,35.0,272.0,110.0,1862.0,650.0,164.0,937.0,513.0,727.0,1097.0,85.0,4124.0,702.0,400.0,134.0,67.0,1144.0,95.0,179.0,124.0,1795.0,121.0,444.0,3280.0,1405.0,261.0,205.0,2510.0,1462.0,79.0,470.0,66.0,1093.0,4188.0,148.0,800.0,38.0,433.0,596.0,208.0,44.0
